NAME	TITLE	SCORE	
FAM111A	FAM111 trypsin like peptidase A [Source:HGNC Symbol;Acc:HGNC:24725]	4.227784	
SLC30A4	solute carrier family 30 member 4 [Source:HGNC Symbol;Acc:HGNC:11015]	3.7557049	
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17 [Source:HGNC Symbol;Acc:HGNC:16347]	3.539698	
C11orf16	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	3.3964937	
EXTL3-AS1	EXTL3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27985]	3.2321231	
SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	3.1598392	
EXTL1	exostosin like glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3515]	3.1554775	
SLAIN1	SLAIN motif family member 1 [Source:HGNC Symbol;Acc:HGNC:26387]	3.1189344	
C1orf226	chromosome 1 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34351]	3.0871408	
FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	2.9871671	
WNT9A	Wnt family member 9A [Source:HGNC Symbol;Acc:HGNC:12778]	2.9762895	
C10orf143	chromosome 10 open reading frame 143 [Source:HGNC Symbol;Acc:HGNC:48677]	2.9691024	
IQCN	IQ motif containing N [Source:HGNC Symbol;Acc:HGNC:29350]	2.9556403	
H2BC6	H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]	2.9205315	
ISLR2	immunoglobulin superfamily containing leucine rich repeat 2 [Source:HGNC Symbol;Acc:HGNC:29286]	2.9123569	
ABTB3	ankyrin repeat and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:23844]	2.8789945	
SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	2.847461	
ZNF503-AS1	ZNF503 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27370]	2.8364747	
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3 [Source:HGNC Symbol;Acc:HGNC:219]	2.8067458	
CA13	carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]	2.800547	
HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	2.797226	
FAM227B	family with sequence similarity 227 member B [Source:HGNC Symbol;Acc:HGNC:26543]	2.7732792	
ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	2.7618718	
CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	2.7506604	
SCARA5	scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]	2.728394	
