SYMBOL	log2FoldChange	padj	logFC.edgeR	PValue	logFC.limma-voom	adj.P.Val
7SK	0.396142135	0.110189636	0.401967411	0.042154898	0.356489613	0.191932326
A1BG	-0.134574795	0.346351887	-0.127512021	0.204892479	-0.122716341	0.35851967
A1BG-AS1	0.658108776	1.95E-08	0.664751323	2.80E-09	0.670097732	6.44E-05
A2M-AS1	0.673119678	0.180908076	0.682536503	0.049343666	0.668141602	0.19057545
A2ML1	-0.582837162	9.44E-18	-0.576265053	2.27E-18	-0.576921066	9.48E-07
A2ML1-AS1	-0.436901374	0.07214654	-0.428051029	0.016688659	-0.416453634	0.081663884
A2ML1-AS2	-0.198339127	0.822600803	-0.194089932	0.622466103	-0.106642638	0.88866433
A4GALT	-0.3399789	1.10E-05	-0.333200912	5.72E-06	-0.330789948	0.001171801
AAAS	0.020887211	0.837189041	0.027520506	0.612692707	0.028401432	0.737219389
AACS	0.136326688	0.02053525	0.142943974	0.00625343	0.1430725	0.027410498
AACSP1	-0.194607168	0.577878536	-0.187405964	0.358968275	-0.174969424	0.562908819
AADACL3	-1.399848091	0.000500418	-1.378331677	1.83E-06	-1.388730433	0.001654516
AADACL4	-1.954712142	0.015802151	-1.925081676	0.000633878	-1.75368394	0.028685757
AADAT	-0.151709349	0.474963041	-0.145012312	0.30480592	-0.139686045	0.495710156
AAED1	-0.036473568	0.780938728	-0.029884713	0.696411707	-0.030210335	0.799773012
AAGAB	0.381926495	1.05E-05	0.388593281	2.61E-06	0.389796466	0.00107683
AAK1	-0.131039618	0.048783931	-0.124833923	0.023960281	-0.1255597	0.073530757
AAMDC	0.292048224	0.200827496	0.298988606	0.080201083	0.291824873	0.224097745
AAMP	-0.100439485	0.066820675	-0.09405212	0.051120177	-0.094197792	0.112717031
AAR2	-0.003477729	0.976853744	0.003326797	0.957608458	0.005608628	0.957813181
AARS	0.512858561	2.81E-09	0.518849437	2.96E-10	0.522584447	7.06E-05
AARS2	0.019889772	0.851866761	0.026187265	0.656922936	0.026300843	0.782877494
AARSD1	-0.002100194	0.990126724	0.003950455	0.963858181	0.00153154	0.99281439
AASDH	0.343038929	0.000196575	0.349875289	5.30E-05	0.35408079	0.002946808
AASDHPPT	0.114832973	0.164529158	0.121664961	0.060354256	0.123534543	0.150822441
AASS	0.104728397	0.20012269	0.11139112	0.072033318	0.110989892	0.177054382
AATBC	-0.309394517	0.365065836	-0.301570559	0.152906489	-0.29284343	0.32775365
AATK	-0.180358217	0.703957946	-0.17323902	0.477572722	-0.19632656	0.614747817
AB019441.29	-0.051415073	0.852474691	-0.044861357	0.779127954	-0.057677207	0.8123608
ABALON	-0.249837	0.604546882	-0.244413256	0.422535035	-0.261979791	0.549643949
ABAT	0.18070408	0.179116352	0.187367759	0.069322929	0.18430357	0.168882889
ABBA01000934.1	0.317136751	0.796632228	0.323428257	0.631637503	0.520258808	0.584293526
ABCA1	-0.259200018	0.675621103	-0.254438585	0.49218253	-0.307601449	0.590445034
ABCA11P	0.533848516	0.000240344	0.540130756	5.87E-05	0.548244975	0.002741852
ABCA12	-0.444367809	0.613851973	-0.428750238	0.361787047	-0.466938987	0.540205798
ABCA17P	-1.943718513	0.007651561	-1.92862834	0.000327125	-1.791954396	0.031057712
ABCA2	-0.370935638	1.22E-08	-0.364246741	1.41E-09	-0.363355535	7.67E-05
ABCA3	0.34176071	0.064097137	0.348679458	0.02097195	0.370693492	0.066413869
ABCA4	-0.678296928	2.32E-30	-0.671619627	3.08E-28	-0.671414611	5.24E-08
ABCA5	0.849752803	0.049706376	0.856970728	0.010770255	0.913839513	0.082356077
ABCA7	0.163123943	0.021906417	0.169710538	0.006985233	0.170130693	0.036901415
ABCB10	0.192263655	0.000451652	0.198932984	0.000145904	0.198711478	0.0035424
ABCB6	-0.021697923	0.849320807	-0.015529992	0.802662486	-0.017319291	0.864129866
ABCB7	0.094890238	0.439494256	0.101334655	0.238899997	0.100468865	0.414552254
ABCB8	0.37993999	2.56E-08	0.386209163	1.27E-09	0.383932156	7.11E-05
ABCB9	0.220479363	0.103094706	0.226218286	0.037633571	0.220666767	0.124832226
ABCC1	-0.136813029	0.675899567	-0.127969838	0.396386442	-0.112360662	0.644261126
ABCC10	0.451768606	3.22E-12	0.458146717	3.89E-12	0.458169305	8.59E-06
ABCC11	0.289777046	0.68921709	0.292951134	0.461656911	0.201703866	0.788610664
ABCC2	-0.455517317	0.155296967	-0.447369691	0.046267925	-0.441792578	0.142783361
ABCC3	0.097343601	0.917764903	0.100863713	0.878048135	0.088640352	0.915810892
ABCC4	-0.018200064	0.920235967	-0.01178197	0.908750715	-0.01683042	0.921108186
ABCC5	-0.314114896	1.20E-08	-0.307386758	1.45E-08	-0.306874639	0.000119514
ABCC6	0.275762919	0.293753359	0.282180119	0.111140267	0.291579077	0.222159826
ABCC6P1	-0.153452241	0.857065344	-0.14883483	0.769831032	-0.153854768	0.829327841
ABCD1	-0.152907117	0.023570856	-0.146044555	0.010058691	-0.145310941	0.046349468
ABCD3	0.114289511	0.07904681	0.120924847	0.028399063	0.120947572	0.086270872
ABCD4	0.186291393	0.018181765	0.192987055	0.004216529	0.191833578	0.031668409
ABCE1	-0.039999932	0.746450294	-0.033275373	0.642241676	-0.029704827	0.813947033
ABCF2	0.078630205	0.37727697	0.085091646	0.160474008	0.086625649	0.291405797
ABCF3	0.116783697	0.109357346	0.123088378	0.028756591	0.122305141	0.087078501
ABCG2	-0.260530775	0.000144933	-0.253760936	5.37E-05	-0.252511115	0.003534715
ABHD10	0.108496211	0.173735641	0.115199951	0.066465266	0.116358482	0.157828926
ABHD11	0.457444253	2.46E-09	0.463817947	3.04E-10	0.464322366	5.55E-05
ABHD12	-0.088249338	0.235265947	-0.081964596	0.129957615	-0.082812578	0.245145728
ABHD12B	-0.134103558	0.48508383	-0.127576107	0.330985057	-0.122699382	0.518938177
ABHD13	0.129422905	0.238524626	0.135954918	0.108718728	0.138107754	0.208827469
ABHD14A	-0.122600455	0.361601592	-0.1155385	0.223497736	-0.109441119	0.40776539
ABHD14A-ACY1	-0.142122746	0.020707709	-0.135744337	0.00942951	-0.136732021	0.037399415
ABHD14B	0.200317107	0.086059941	0.206782988	0.024961142	0.203463854	0.088982809
ABHD15	0.40797693	2.04E-05	0.414305938	3.45E-06	0.412043461	0.001112765
ABHD16A	0.178117755	0.055263504	0.184789086	0.015965634	0.185399008	0.057753388
ABHD17A	0.085154572	0.383060345	0.091757139	0.16082043	0.091707375	0.320008067
ABHD17AP1	-0.146784152	0.846860927	-0.135146179	0.734071403	-0.171827604	0.781198597
ABHD17AP6	0.114056526	0.930314438	0.116445557	0.925863143	0.065116412	0.948641592
ABHD17B	0.086429962	0.442777338	0.092726071	0.23245882	0.089690027	0.395418911
ABHD17C	0.127094779	0.182574112	0.133834509	0.062341285	0.13474424	0.147041184
ABHD18	0.208824707	0.062950863	0.215376776	0.023596346	0.217573783	0.079005572
ABHD2	0.039562204	0.732976966	0.045949997	0.481980739	0.044140447	0.666932985
ABHD4	-0.262012659	0.001269701	-0.255732846	0.000222031	-0.2594068	0.005268018
