NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
FBXO46	1	ENSG00000177051	
FBXO43	1	ENSG00000156509	
FBXO44	1	ENSG00000132879	
NPAS1	1	ENSG00000130751	
CCDC144A	1	ENSG00000170160	
FBXO41	1	ENSG00000163013	
NPAS2	1	ENSG00000170485	
FBXO42	1	ENSG00000037637	
GRAMD4P3	1	ENSG00000278301	
FAM111A-DT	1	ENSG00000245571	
MBIP	1	ENSG00000151332	
BMF	1	ENSG00000104081	
NEK8	1	ENSG00000160602	
NEK9	1	ENSG00000119638	
SDF2L1	1	ENSG00000128228	
NEK4	1	ENSG00000114904	
RASL10A	1	ENSG00000100276	
NEK5	1	ENSG00000197168	
RASL10B	1	ENSG00000270885	
FBXO38	1	ENSG00000145868	
NEK6	1	ENSG00000119408	
HTR1D	1	ENSG00000179546	
NEK7	1	ENSG00000151414	
STYX	1	ENSG00000198252	
FBXO36	1	ENSG00000153832	
FBXO34	1	ENSG00000178974	
RGMB-AS1	1	ENSG00000246763	
FBXO32	1	ENSG00000156804	
FBXO33	1	ENSG00000165355	
FBXO30	1	ENSG00000118496	
FAM90A1	1	ENSG00000171847	
FBXO31	1	ENSG00000103264	
DRAP1	1	ENSG00000175550	
CELP	1	ENSG00000170827	
ALDH7A1P1	1	ENSG00000251400	
SLC49A4	1	ENSG00000138463	
MNAT1	1	ENSG00000020426	
SLC49A3	1	ENSG00000169026	
BCAR3	1	ENSG00000137936	
KCNK5	1	ENSG00000164626	
PIWIL2	1	ENSG00000197181	
AGAP1-IT1	1	ENSG00000235529	
KCNK6	1	ENSG00000099337	
KCNK7	1	ENSG00000173338	
PIWIL4	1	ENSG00000134627	
ALAS1	1	ENSG00000023330	
BCAR4	1	ENSG00000262117	
PIWIL3	1	ENSG00000184571	
KCNK9	1	ENSG00000169427	
ONECUT2	1	ENSG00000119547	
LRRC37BP1	1	ENSG00000250462	
ONECUT3	1	ENSG00000205922	
ONECUT1	1	ENSG00000169856	
EDRF1-DT	1	ENSG00000224023	
HTR2B	1	ENSG00000135914	
HTR2C	1	ENSG00000147246	
PPWD1	1	ENSG00000113593	
HTR2A	1	ENSG00000102468	
NENF	1	ENSG00000117691	
TNFSF13B	1	ENSG00000102524	
BOC	1	ENSG00000144857	
SPDL1	1	ENSG00000040275	
NEO1	1	ENSG00000067141	
BCAS2	1	ENSG00000116752	
BCAS1	1	ENSG00000064787	
BOK	1	ENSG00000176720	
BCAS4	1	ENSG00000124243	
SLC36A1	1	ENSG00000123643	
BCAS3	1	ENSG00000141376	
SLC36A3	1	ENSG00000186334	
PIANP	1	ENSG00000139200	
SLC36A2	1	ENSG00000186335	
VPS13C	1	ENSG00000129003	
DHPS	1	ENSG00000095059	
VPS13D	1	ENSG00000048707	
VPS13A	1	ENSG00000197969	
VPS13B	1	ENSG00000132549	
CCDC183-AS1	1	ENSG00000228544	
RABGGTB	1	ENSG00000137955	
CD24P4	1	ENSG00000185275	
RABGGTA	1	ENSG00000100949	
HEATR6-DT	1	ENSG00000267416	
NEMF	1	ENSG00000165525	
C1D	1	ENSG00000197223	
BCAT1	1	ENSG00000060982	
BCAT2	1	ENSG00000105552	
TOLLIP-DT	1	ENSG00000255153	
CYP51A1P1	1	ENSG00000241095	
C1S	1	ENSG00000182326	
C1R	1	ENSG00000159403	
LRTM2	1	ENSG00000166159	
CLN8-AS1	2	ENSG00000282481:ENSG00000253982	
LENG8	4	ENSG00000276458:ENSG00000276681:ENSG00000274305:ENSG00000167615	
U2AF1	1	ENSG00000160201	
CYP51A1P3	1	ENSG00000215223	
IL2RG	1	ENSG00000147168	
CYP51A1P2	1	ENSG00000233588	
DRAM1	1	ENSG00000136048	
U2AF2	1	ENSG00000063244	
DRAM2	1	ENSG00000156171	
CNPY2-AS1	1	ENSG00000257303	
BBLN	1	ENSG00000171159	
KCNJ1	1	ENSG00000151704	
MYG1-AS1	1	ENSG00000257605	
SLC36A4	1	ENSG00000180773	
TSPOAP1	1	ENSG00000005379	
KCNJ4	1	ENSG00000168135	
KCNJ5	1	ENSG00000120457	
COL26A1	1	ENSG00000160963	
KCNJ6	1	ENSG00000157542	
GPKOW	1	ENSG00000068394	
GSTZ1	1	ENSG00000100577	
IL2RB	1	ENSG00000100385	
KCNK1	1	ENSG00000135750	
BCAR1	1	ENSG00000050820	
KCNK4	1	ENSG00000182450	
SLC23A3	1	ENSG00000213901	
SLC23A2	1	ENSG00000089057	
CERK	1	ENSG00000100422	
SLC23A1	1	ENSG00000170482	
LGALSL	1	ENSG00000119862	
CCP110	1	ENSG00000103540	
PEX26	1	ENSG00000215193	
C4B	5	ENSG00000224389:ENSG00000236625:ENSG00000224639:ENSG00000228267:ENSG00000228454	
LGALS4	2	ENSG00000171747:ENSG00000282992	
C4A	4	ENSG00000227746:ENSG00000244207:ENSG00000244731:ENSG00000206340	
LGALS3	1	ENSG00000131981	
LGALS2	1	ENSG00000100079	
LGALS1	1	ENSG00000100097	
H2BC12L	1	ENSG00000234289	
MCIDAS	1	ENSG00000234602	
BSG	1	ENSG00000172270	
ATXN7L1	1	ENSG00000146776	
LGALS9	1	ENSG00000168961	
ATXN7L2	1	ENSG00000162650	
BSN	1	ENSG00000164061	
LGALS8	1	ENSG00000116977	
ATXN7L3	1	ENSG00000087152	
EIF5AP4	1	ENSG00000234743	
EIF5AP3	1	ENSG00000267346	
LIMCH1	1	ENSG00000064042	
PSMD10P2	1	ENSG00000226652	
EGLN1P1	1	ENSG00000254779	
PSMD10P1	1	ENSG00000228663	
GOLPH3L	1	ENSG00000143457	
DRAIC	1	ENSG00000245750	
ZNF593OS	1	ENSG00000236782	
CFAP141	1	ENSG00000163263	
CFAP144	1	ENSG00000186973	
BTD	1	ENSG00000169814	
CFDP1	1	ENSG00000153774	
CRISPLD1	1	ENSG00000121005	
SOAT1	1	ENSG00000057252	
CRISPLD2	1	ENSG00000103196	
KCNQ1	2	ENSG00000282076:ENSG00000053918	
NINJ2	1	ENSG00000171840	
SUB1	1	ENSG00000113387	
KCNQ2	2	ENSG00000281151:ENSG00000075043	
NINJ1	1	ENSG00000131669	
BTK	1	ENSG00000010671	
KCNQ4	1	ENSG00000117013	
TBC1D26-AS1	1	ENSG00000233002	
DOCK9-DT	1	ENSG00000260992	
CES3	1	ENSG00000172828	
CES2	1	ENSG00000172831	
CES1	2	ENSG00000198848:ENSG00000262243	
ENSG00000252188	1	ENSG00000252188	
CETP	1	ENSG00000087237	
GRB7	1	ENSG00000141738	
DHX8	1	ENSG00000067596	
DHX9	1	ENSG00000135829	
RRAD	1	ENSG00000166592	
ZBTB1	1	ENSG00000126804	
ZBTB5	1	ENSG00000168795	
ZBTB4	1	ENSG00000174282	
CFAP126	1	ENSG00000188931	
ZBTB3	1	ENSG00000185670	
ZBTB2	1	ENSG00000181472	
NEU2	1	ENSG00000115488	
NKAIN2	1	ENSG00000188580	
PKHD1	1	ENSG00000170927	
NEU3	1	ENSG00000162139	
NKAIN1	1	ENSG00000084628	
SEPTIN7P6	1	ENSG00000241007	
NKAIN4	1	ENSG00000101198	
MRNIP	1	ENSG00000161010	
NKAIN3	1	ENSG00000185942	
RACGAP1	1	ENSG00000161800	
RRAS	1	ENSG00000126458	
SEPTIN7P9	1	ENSG00000120555	
NEU1	8	ENSG00000227315:ENSG00000184494:ENSG00000234846:ENSG00000227129:ENSG00000228691:ENSG00000223957:ENSG00000204386:ENSG00000234343	
SEPTIN7P8	1	ENSG00000229000	
KCNN1	1	ENSG00000105642	
KCNN2	1	ENSG00000080709	
KCNN3	1	ENSG00000143603	
KCNN4	1	ENSG00000104783	
H3C4	1	ENSG00000197409	
H3C7	1	ENSG00000277775	
BBS2	1	ENSG00000125124	
SLC10A4	1	ENSG00000145248	
BBS1	1	ENSG00000174483	
NTNG2	1	ENSG00000196358	
SLC10A5	1	ENSG00000253598	
XBP1	1	ENSG00000100219	
SLC10A7	1	ENSG00000120519	
YES1	1	ENSG00000176105	
HSD17B1P1	1	ENSG00000108785	
SLC10A1	1	ENSG00000100652	
SPDYC	1	ENSG00000204710	
SLC10A3	1	ENSG00000126903	
IL36G	1	ENSG00000136688	
SUCO	1	ENSG00000094975	
CPLANE1	1	ENSG00000197603	
CFAP119	1	ENSG00000196118	
CPLANE2	1	ENSG00000132881	
NET1	1	ENSG00000173848	
ZBTB9	2	ENSG00000213588:ENSG00000236515	
MAST3-AS1	1	ENSG00000269145	
PEX5L	1	ENSG00000114757	
MC1R	1	ENSG00000258839	
ZBTB6	1	ENSG00000186130	
SPDYA	1	ENSG00000163806	
GRB2	1	ENSG00000177885	
GRAP	1	ENSG00000154016	
OR7E46P	1	ENSG00000234485	
ADM-DT	1	ENSG00000254554	
TFB1M	1	ENSG00000029639	
C8G	1	ENSG00000176919	
SUFU	1	ENSG00000107882	
RNF213-AS1	1	ENSG00000263069	
BBS9	1	ENSG00000122507	
BBS7	1	ENSG00000138686	
BBS5	1	ENSG00000163093	
BBS4	1	ENSG00000140463	
EIF5AL1	1	ENSG00000253626	
H3C8	1	ENSG00000273983	
PCYT1B	1	ENSG00000102230	
FCER1G	1	ENSG00000158869	
PCYT1A	1	ENSG00000161217	
ZHX3	1	ENSG00000174306	
AGTRAP	1	ENSG00000177674	
CACYBP	1	ENSG00000116161	
TFB2M	1	ENSG00000162851	
EIPR1-IT1	1	ENSG00000224885	
ZHX1	1	ENSG00000165156	
RNF144A	1	ENSG00000151692	
RNF144B	1	ENSG00000137393	
PITPNM1	1	ENSG00000110697	
PITPNM3	1	ENSG00000091622	
PITPNM2	1	ENSG00000090975	
ERCC6L2-AS1	1	ENSG00000175611	
TAX1BP1	1	ENSG00000106052	
FAM193B	1	ENSG00000146067	
FAM32A	1	ENSG00000105058	
TAX1BP3	1	ENSG00000213977	
FAM193A	1	ENSG00000125386	
SSNA1	1	ENSG00000176101	
RNF13P1	1	ENSG00000242068	
DPPA2P3	1	ENSG00000224403	
NEXN	1	ENSG00000162614	
PEX16	1	ENSG00000121680	
PEX19	1	ENSG00000162735	
KLHL2	1	ENSG00000109466	
KLHL3	1	ENSG00000146021	
PEX10	1	ENSG00000157911	
KCNRG	1	ENSG00000198553	
CFAP157	1	ENSG00000160401	
PEX12	1	ENSG00000108733	
PEX13	1	ENSG00000162928	
PEX14	1	ENSG00000142655	
KLHL9	1	ENSG00000198642	
ETAA1	1	ENSG00000143971	
TFAP4	1	ENSG00000090447	
KCNS1	1	ENSG00000124134	
KLHL5	1	ENSG00000109790	
KLHL6	1	ENSG00000172578	
KCNS3	1	ENSG00000170745	
KLHL7	1	ENSG00000122550	
KLHL8	1	ENSG00000145332	
PRDM4-AS1	1	ENSG00000258136	
ANP32AP1	1	ENSG00000259516	
SNORA58B	1	ENSG00000201129	
INPPL1	1	ENSG00000165458	
PLAT	1	ENSG00000104368	
RBM22P2	1	ENSG00000213411	
PLB1	1	ENSG00000163803	
IGF1R	1	ENSG00000140443	
TXN2	1	ENSG00000100348	
PPIP5K1	1	ENSG00000168781	
PLAU	1	ENSG00000122861	
PPIP5K2	1	ENSG00000145725	
ENPP1	1	ENSG00000197594	
RXYLT1	1	ENSG00000118600	
MIR6126	1	ENSG00000273776	
ENPP5	1	ENSG00000112796	
CARD10	1	ENSG00000100065	
MAP7-AS1	1	ENSG00000272189	
SNORA59A	1	ENSG00000239149	
RN7SL558P	1	ENSG00000243260	
CPSF1P1	1	ENSG00000214076	
ADAM11	1	ENSG00000073670	
ADAM10	1	ENSG00000137845	
NDFIP2-AS1	1	ENSG00000232132	
ENSG00000228496	1	ENSG00000228496	
DHDDS	1	ENSG00000117682	
ADAM19	1	ENSG00000135074	
ADAM17	1	ENSG00000151694	
BRMS1	1	ENSG00000174744	
ADAM15	1	ENSG00000143537	
CARD19	1	ENSG00000165233	
ADAM1A	1	ENSG00000229186	
CARD18	1	ENSG00000255501	
PLAA	1	ENSG00000137055	
CARD14	1	ENSG00000141527	
CARD11	1	ENSG00000198286	
RBMS2P1	1	ENSG00000213250	
HTRA4	1	ENSG00000169495	
HTRA1	1	ENSG00000166033	
PLD5	1	ENSG00000180287	
DAPP1	1	ENSG00000070190	
HTRA2	1	ENSG00000115317	
PLD4	1	ENSG00000166428	
PLD6	1	ENSG00000179598	
PLD1	1	ENSG00000075651	
PLD3	1	ENSG00000105223	
PLD2	1	ENSG00000129219	
NME1-NME2	1	ENSG00000011052	
GRK3	1	ENSG00000100077	
GRK2	1	ENSG00000173020	
GRK5	1	ENSG00000198873	
ELDR	1	ENSG00000280890	
GRK4	1	ENSG00000125388	
GRK7	1	ENSG00000114124	
GRK6	1	ENSG00000198055	
PIBF1	1	ENSG00000083535	
FAM151AP1	1	ENSG00000234805	
RN7SL689P	1	ENSG00000263432	
ZNF350-AS1	1	ENSG00000269235	
CHCHD10	2	ENSG00000273607:ENSG00000250479	
FAM199X	1	ENSG00000123575	
IGF2R	1	ENSG00000197081	
BSPRY	1	ENSG00000119411	
RBM22P5	1	ENSG00000231137	
OR7M1P	1	ENSG00000273336	
ZMYND15	1	ENSG00000141497	
ZMYND19	1	ENSG00000165724	
PLEK	1	ENSG00000115956	
CFAP107	1	ENSG00000157330	
GRM1	1	ENSG00000152822	
PITPNC1	1	ENSG00000154217	
GRM2	1	ENSG00000164082	
GRM4	1	ENSG00000124493	
CA3	1	ENSG00000164879	
GTF2A1-AS1	1	ENSG00000273783	
ZNF473CR	1	ENSG00000204666	
ZIC2	1	ENSG00000043355	
CA2	1	ENSG00000104267	
GRM6	1	ENSG00000113262	
ZIC1	1	ENSG00000152977	
MIR103A2	1	ENSG00000199024	
RNU6-513P	1	ENSG00000251913	
CA9	1	ENSG00000107159	
MYBL2	1	ENSG00000101057	
MYBL1	1	ENSG00000185697	
SUN3	1	ENSG00000164744	
SUN2	1	ENSG00000100242	
SUN1	1	ENSG00000164828	
ATP6AP1	1	ENSG00000071553	
CKS1BP4	1	ENSG00000255541	
CKS1BP7	1	ENSG00000254331	
ATP6AP2	1	ENSG00000182220	
CAD	1	ENSG00000084774	
HUNK	1	ENSG00000142149	
ENSG00000254718	1	ENSG00000254718	
SEPTIN7P3	1	ENSG00000226102	
SEPTIN7P2	1	ENSG00000214765	
SUN5	1	ENSG00000167098	
ELF1	1	ENSG00000120690	
ELF2	1	ENSG00000109381	
ELF3	1	ENSG00000163435	
GFOD1	1	ENSG00000145990	
ELF4	1	ENSG00000102034	
ELF5	1	ENSG00000135374	
CAT	1	ENSG00000121691	
GFOD2	1	ENSG00000141098	
MIR103B2	1	ENSG00000283320	
ZMYND10	1	ENSG00000004838	
ZMYND11	1	ENSG00000015171	
MSH2-OT1	1	ENSG00000235760	
SDCBPP3	1	ENSG00000232801	
SHANK3	1	ENSG00000251322	
ZMYND12	1	ENSG00000066185	
SHANK2	1	ENSG00000162105	
PLEC	1	ENSG00000178209	
SHANK1	1	ENSG00000161681	
KRT17P2	1	ENSG00000186831	
RRN3	2	ENSG00000085721:ENSG00000278494	
CBL	1	ENSG00000110395	
ENSG00000228463	1	ENSG00000228463	
GLIPR1-AS1	1	ENSG00000257497	
SV2C	1	ENSG00000122012	
CBS	1	ENSG00000160200	
SV2A	1	ENSG00000159164	
TBX20	1	ENSG00000164532	
CKS1BP1	1	ENSG00000258788	
CKS1BP3	1	ENSG00000268942	
CKS1BP2	1	ENSG00000225976	
LNCHR1	1	ENSG00000257400	
CLVS1	1	ENSG00000177182	
RRM1	1	ENSG00000167325	
RRM2	1	ENSG00000171848	
MRPS18AP1	1	ENSG00000229759	
ATP5PBP3	1	ENSG00000214003	
ZIC4	1	ENSG00000174963	
HS3ST6	2	ENSG00000162040:ENSG00000276333	
ZIC5	1	ENSG00000139800	
SUOX	1	ENSG00000139531	
TBX19	1	ENSG00000143178	
TBX15	1	ENSG00000092607	
CCS	1	ENSG00000173992	
CD4	1	ENSG00000010610	
NOPCHAP1	1	ENSG00000151131	
CD6	1	ENSG00000013725	
CD5	1	ENSG00000110448	
CD7	1	ENSG00000173762	
CD9	1	ENSG00000010278	
MNX1-AS1	1	ENSG00000243479	
MNX1-AS2	1	ENSG00000235029	
CDA	1	ENSG00000158825	
VPS29	1	ENSG00000111237	
FRMPD1	1	ENSG00000070601	
RPL36AP15	1	ENSG00000235369	
FRMPD2	1	ENSG00000170324	
RPL36AP16	1	ENSG00000232228	
RRP1	1	ENSG00000160214	
EPS15-AS1	1	ENSG00000227070	
ELK1	1	ENSG00000126767	
RRP8	1	ENSG00000132275	
ELK3	1	ENSG00000111145	
BPTFP1	1	ENSG00000263647	
RRP9	1	ENSG00000114767	
ELK4	1	ENSG00000158711	
ALCAM	1	ENSG00000170017	
ENSG00000278903	1	ENSG00000278903	
SCN11A	1	ENSG00000168356	
ENSG00000230960	1	ENSG00000230960	
VPS35	1	ENSG00000069329	
VPS36	1	ENSG00000136100	
VPS39	1	ENSG00000166887	
RPL36AP24	1	ENSG00000238055	
VPS18	1	ENSG00000104142	
CLEC11A	1	ENSG00000105472	
HUS1	1	ENSG00000136273	
CEL	1	ENSG00000170835	
H3P6	1	ENSG00000235655	
NUP93	1	ENSG00000102900	
BCAN	1	ENSG00000132692	
BCAM	1	ENSG00000187244	
PPP4R2P1	1	ENSG00000250848	
AKR1B10P1	1	ENSG00000213606	
RN7SL441P	1	ENSG00000241413	
HECW2	1	ENSG00000138411	
DLX6-AS1	1	ENSG00000231764	
RN7SL574P	1	ENSG00000266075	
SRFBP1	1	ENSG00000151304	
TARS2	1	ENSG00000143374	
NUP98	1	ENSG00000110713	
SNORA50A	2	ENSG00000281910:ENSG00000206952	
TARS3	1	ENSG00000185418	
SNORA50C	1	ENSG00000277887	
TARS1	1	ENSG00000113407	
VPS25	1	ENSG00000131475	
CFB	7	ENSG00000243649:ENSG00000239754:ENSG00000204359:ENSG00000242335:ENSG00000241534:ENSG00000241253:ENSG00000243570	
PPP4R2P5	1	ENSG00000232615	
LIMASI	1	ENSG00000266978	
VPS28	1	ENSG00000160948	
RNF216P1	1	ENSG00000196204	
PPP4R2P4	1	ENSG00000249626	
CFD	2	ENSG00000274619:ENSG00000197766	
PLEKHA8P1	1	ENSG00000134297	
METTL25B	1	ENSG00000143303	
CFP	1	ENSG00000126759	
IRF2-DT	1	ENSG00000271646	
RRP7A	1	ENSG00000189306	
NUP85	1	ENSG00000125450	
RRS1	1	ENSG00000179041	
ST3GAL4	1	ENSG00000110080	
VPS11	2	ENSG00000280616:ENSG00000160695	
ST3GAL5	1	ENSG00000115525	
NUP88	1	ENSG00000108559	
ST3GAL6	1	ENSG00000064225	
CGA	1	ENSG00000135346	
ST3GAL1	1	ENSG00000008513	
ST3GAL2	1	ENSG00000157350	
ST3GAL3	1	ENSG00000126091	
VPS16	1	ENSG00000215305	
C3orf18	1	ENSG00000088543	
LRRC37A3	1	ENSG00000176809	
PLK4	1	ENSG00000142731	
ARL14EP	1	ENSG00000152219	
LRRC37A2	3	ENSG00000274332:ENSG00000238083:ENSG00000277221	
NFE2	1	ENSG00000123405	
PLK3	1	ENSG00000173846	
PLK5	1	ENSG00000185988	
APOOL	1	ENSG00000155008	
GTF2IRD2	1	ENSG00000196275	
SPIN4-AS1	1	ENSG00000233661	
MCAM	1	ENSG00000076706	
PLK2	1	ENSG00000145632	
PLK1	1	ENSG00000166851	
KLF3-AS1	1	ENSG00000231160	
CGN	1	ENSG00000143375	
ENSG00000253607	1	ENSG00000253607	
C3orf14	1	ENSG00000114405	
ELL2	1	ENSG00000118985	
MCAT	1	ENSG00000100294	
ELL3	1	ENSG00000128886	
ZNF559-ZNF177	1	ENSG00000270011	
CALHM6-AS1	1	ENSG00000244158	
GTF2IRD1	1	ENSG00000006704	
TMEM225B	1	ENSG00000244219	
RSPH10B	1	ENSG00000155026	
MOCS2	1	ENSG00000164172	
MOCS3	1	ENSG00000124217	
STON1	1	ENSG00000243244	
CHM	1	ENSG00000188419	
STON2	1	ENSG00000140022	
FGD5-AS1	1	ENSG00000225733	
MCEE	1	ENSG00000124370	
DGUOK-AS1	1	ENSG00000237883	
ELOA	1	ENSG00000011007	
ELOB	1	ENSG00000103363	
