name	value.var	comp
Olfr701	-0.180205047774274	1
5330413D20Rik	-0.180205047774274	1
Gnb1l	-0.140412455616022	1
Rps15a-ps8	-0.129954010849663	1
4933408J17Rik	0.128432822129823	1
Ear1	-0.112850445899048	1
Tmem145	0.111044100443986	1
4930567H17Rik	-0.104575355283694	1
D230049E03Rik	0.102360970670876	1
Sidt1	0.0967608733172526	1
Tlr1	0.0941919663022408	1
Sp4	-0.0940423893993932	1
Mir15a	-0.0934842995948048	1
Lrpap1	0.091240108196874	1
Pacs1	0.0853498802580168	1
Thumpd1	-0.0824149230270129	1
C1qtnf4	0.0813172678878981	1
Rps27rt	-0.081317024635991	1
Wdr83	-0.077982037490202	1
Nek11	-0.0769273638338611	1
Gpr62	-0.0753514824553859	1
Mir291a	0.0753214072265218	1
Brd3os	0.0750666481234377	1
Prtg	0.0742916952249623	1
Tcea2	0.0740719139694033	1
Klkb1	-0.0732332133852065	1
Syt16	-0.0721274864637066	1
Cd200r3	-0.0717007356367169	1
Prrt4	0.071300990630083	1
Ndufs3	0.0708235559582452	1
4933413C19Rik	-0.0705015597149855	1
Snord14c	-0.0690424990032383	1
Dytn	-0.0673866029589095	1
Sall4	0.0660619580706794	1
Pex12	-0.0655780091994812	1
Rab3gap1	-0.0620975094204871	1
2010310C07Rik	-0.0588853561942915	1
Phpt1	0.0583788736790193	1
8430406P12Rik	-0.0569459024527863	1
Olfr544	-0.0566515405276323	1
Ighv1-52	-0.0566515405276323	1
Rbm20	-0.0557397890804254	1
Nkrf	-0.0553628885849503	1
Kcnmb4	0.0545908746414649	1
Zp2	-0.0526334339556731	1
Lrcol1	0.0485457024696931	1
Pnpla5	-0.0484510636522844	1
Snapc3	-0.048151047325974	1
Pga5	0.0480106487681915	1
Ptcra	-0.0472871083806855	1
Mansc4	0.0471717433299589	1
Rpl21-ps15	0.0470703313601619	1
Cxcr3	0.0442447180222917	1
Ube2e1	-0.0439842302069374	1
Zfp84	-0.043451050888519	1
Pla2g5	0.0434385278272027	1
Cdc34b	0.0433947279371743	1
5930438M14Rik	-0.0375368278291851	1
Fubp1	-0.0375038337512981	1
Mir1981	0.0367324778112124	1
Soga3	-0.0365245476000847	1
Lrrc9	-0.0359495152783032	1
Fam118a	-0.0355869276207106	1
Sprr2a1	-0.0354666255617243	1
Ptpn3	-0.0341871692219186	1
Prss50	0.0341526019158753	1
Pdk2	0.0337850490441366	1
Ighv1-53	-0.0331852325258681	1
Rnf121	0.0318467285156663	1
St18	0.0314203556581902	1
Srsf12	0.0305553335434119	1
Akap11	-0.0305181083455948	1
Dhx32	0.0301197059524137	1
Atad3aos	-0.028715797915659	1
Mir6898	-0.0283524473347464	1
Nkx3-1	0.0277173418341148	1
4930563E22Rik	-0.0276941407398081	1
9530097N15Rik	-0.0263713962417353	1
Fbxw14	0.0262865710301003	1
Btnl9	-0.0238389092300724	1
Mast1	0.023103682878776	1
A930024E05Rik	0.0226170798866999	1
Supt4b	0.0221672572890993	1
Thsd7b	0.0219705484237088	1
Hnf1b	0.0214074386508382	1
3300002I08Rik	0.0209831778763757	1
Iglj1	-0.0207823689142663	1
Btaf1	-0.020526683503522	1
Atp8a2	0.0202028240427999	1
BC106175	0.020077631892206	1
Notum	0.0193175159978692	1
Ccndbp1	-0.0175034634031051	1
Gata5	0.0174055324522981	1
Krr1	-0.0169960148647549	1
Ctsr	-0.0169446732626766	1
Stard4	0.0167868150098869	1
Ccdc74a	0.0165342460477678	1
Acsm2	-0.0164363087206114	1
Fkbp6	0.0162140863715541	1
Mir6928	0.0157950432955017	1
1700016J18Rik	-0.0153385350119634	1
Cyp8b1	0.0149606500100452	1
2010109A12Rik	-0.0135913420290937	1
Rps12-ps24	0.013013021593288	1
Pcsk1n	0.0124740965452516	1
Zfp607b	-0.0117242313540438	1
Gpr37	0.0114928167104879	1
Nsg1	0.0113117115966056	1
Btbd8	-0.0112467615725588	1
Atm	0.0111986210941192	1
Rab10	-0.010905013622595	1
Cpeb3	-0.0106724967897794	1
Dpp8	-0.0105958123256137	1
Slc22a19	-0.0105511255492901	1
A830009L08Rik	0.00992146592111181	1
Slc25a35	0.00985584213959036	1
A130023I24Rik	-0.00869852024794581	1
Zfp428	0.00678661352038463	1
Agbl2	0.00676946885589621	1
Trim66	0.00611194808995384	1
Igkv10-96	-0.00507608177692085	1
Birc5	0.0045205527320228	1
Rps2-ps8	0.00443758468115055	1
Mir6973a	-0.00369856578601483	1
Mgat5b	-0.00291733990281468	1
Pck2	0.00178297066306439	1
Csad	0.00138560193033355	1
Drd3	-0.000447343883103841	1
Vmn1r4	-0.000152570834309918	1
