SYMBOL	logFC_edgeR	PValue	logFC_limma	adj.P.Val	log2FoldChange_DESeq2	padj
A1BG-AS1	0.664751323	2.80E-09	0.670097732	6.44E-05	0.658108776	1.95E-08
A2ML1	-0.576265053	2.27E-18	-0.576921066	9.48E-07	-0.582837162	9.44E-18
A4GALT	-0.333200912	5.72E-06	-0.330789948	0.001171801	-0.3399789	1.10E-05
AACS	0.142943974	0.00625343	0.1430725	0.027410498	0.136326688	0.02053525
AADACL3	-1.378331677	1.83E-06	-1.388730433	0.001654516	-1.399848091	0.000500418
AADACL4	-1.925081676	0.000633878	-1.75368394	0.028685757	-1.954712142	0.015802151
AAGAB	0.388593281	2.61E-06	0.389796466	0.00107683	0.381926495	1.05E-05
AARS	0.518849437	2.96E-10	0.522584447	7.06E-05	0.512858561	2.81E-09
AASDH	0.349875289	5.30E-05	0.35408079	0.002946808	0.343038929	0.000196575
ABCA11P	0.540130756	5.87E-05	0.548244975	0.002741852	0.533848516	0.000240344
ABCA17P	-1.92862834	0.000327125	-1.791954396	0.031057712	-1.943718513	0.007651561
ABCA2	-0.364246741	1.41E-09	-0.363355535	7.67E-05	-0.370935638	1.22E-08
ABCA4	-0.671619627	3.08E-28	-0.671414611	5.24E-08	-0.678296928	2.32E-30
ABCA7	0.169710538	0.006985233	0.170130693	0.036901415	0.163123943	0.021906417
ABCB10	0.198932984	0.000145904	0.198711478	0.0035424	0.192263655	0.000451652
ABCB8	0.386209163	1.27E-09	0.383932156	7.11E-05	0.37993999	2.56E-08
ABCC10	0.458146717	3.89E-12	0.458169305	8.59E-06	0.451768606	3.22E-12
ABCC5	-0.307386758	1.45E-08	-0.306874639	0.000119514	-0.314114896	1.20E-08
ABCD1	-0.146044555	0.010058691	-0.145310941	0.046349468	-0.152907117	0.023570856
ABCD4	0.192987055	0.004216529	0.191833578	0.031668409	0.186291393	0.018181765
ABCG2	-0.253760936	5.37E-05	-0.252511115	0.003534715	-0.260530775	0.000144933
ABHD11	0.463817947	3.04E-10	0.464322366	5.55E-05	0.457444253	2.46E-09
ABHD14A-ACY1	-0.135744337	0.00942951	-0.136732021	0.037399415	-0.142122746	0.020707709
ABHD15	0.414305938	3.45E-06	0.412043461	0.001112765	0.40797693	2.04E-05
ABHD4	-0.255732846	0.000222031	-0.2594068	0.005268018	-0.262012659	0.001269701
ABHD6	0.335423385	3.49E-07	0.335908099	0.000493892	0.329163	3.86E-06
ABI1	-0.164376289	0.006316531	-0.164990919	0.034513116	-0.170840312	0.018400049
ABTB2	0.84900172	0.001689669	0.829933116	0.030518454	0.844155074	0.0156221
AC002310.11	0.252155692	0.004066088	0.250460315	0.021988235	0.245681849	0.015252932
AC002480.3	-1.011668076	8.82E-17	-1.006546697	1.97E-06	-1.018623702	3.32E-17
AC002480.4	-1.317686351	2.33E-07	-1.355243677	0.000611378	-1.32605568	1.59E-05
AC002985.3	0.140900462	0.008420423	0.140608695	0.0384152	0.134570249	0.032121073
AC004967.7	0.422912722	0.000700305	0.42115768	0.009215819	0.416272182	0.002951858
AC005329.7	-0.489982671	0.004703756	-0.494236016	0.041633664	-0.49671379	0.012756378
AC005618.6	2.223822646	8.47E-06	2.171405794	0.004343715	2.247885432	0.00295968
AC006978.6	-0.326913158	9.22E-06	-0.326715708	0.00120061	-0.333518328	1.41E-05
AC007040.11	0.218325821	0.006165291	0.22398479	0.026508748	0.211109252	0.0251376
AC007040.8	-1.380874787	1.09E-08	-1.373788751	0.000340274	-1.392395861	6.00E-05
AC008079.10	-1.10092109	0.000480883	-1.06074713	0.019222383	-1.108930649	0.018035932
AC008753.3	0.656846574	0.0018	0.6639685	0.027313777	0.649800681	0.009978354
AC009005.2	0.605865279	1.29E-07	0.599012046	0.000338584	0.59951856	1.22E-06
AC013461.1	-0.292621504	0.001823976	-0.302219016	0.015585229	-0.298970558	0.005413031
AC016735.2	-1.021505034	3.10E-10	-1.01937036	4.62E-05	-1.029013199	5.50E-09
AC016747.3	0.26447616	0.000513112	0.265609597	0.004910644	0.257858914	0.002019381
AC018890.6	-0.283381264	0.01592043	-0.289796903	0.045688179	-0.290375852	0.03919455
AC025171.1	0.840025286	0.005028329	0.897729648	0.044717226	0.834167369	0.033958557
AC025263.3	0.671800621	0.000206209	0.672761065	0.007086441	0.665212512	0.001965161
AC062029.1	0.644592879	0.001378556	0.679038907	0.015565683	0.638829229	0.00750984
AC068134.10	-0.789772221	2.49E-05	-0.776457102	0.004115703	-0.7993223	0.000442123
AC068538.4	-1.272557461	0.000284698	-1.287967606	0.013628426	-1.290876869	0.011020468
AC073046.25	-0.548603222	0.007432686	-0.546586958	0.030715239	-0.555794036	0.017725504
AC074286.1	0.381601143	2.85E-06	0.377073753	0.000745735	0.375065735	1.88E-05
AC074289.1	-1.734036628	4.10E-05	-1.695466959	0.01016466	-1.755010256	0.00412417
AC079250.1	0.32461574	0.000319872	0.323979238	0.008781716	0.317960954	0.001704566
AC079776.3	-1.694345694	2.13E-18	-1.682575259	3.23E-06	-1.704811017	1.31E-13
AC090505.5	-1.109932134	1.93E-12	-1.101938369	1.90E-05	-1.117048732	7.80E-12
AC090505.6	-1.140518605	7.34E-26	-1.143634254	9.18E-08	-1.147159127	7.43E-27
AC091729.9	0.455415058	0.000454814	0.459699852	0.008988867	0.448747314	0.00152974
AC091878.1	-0.858231749	0.005769168	-0.973915263	0.019136735	-0.861246431	0.029122722
AC092168.2	-0.907122805	0.000795062	-0.898429158	0.020182714	-0.918077347	0.026556694
AC093642.3	-0.731900463	0.000898048	-0.754880858	0.011712945	-0.739485155	0.003178361
AC097724.3	0.651353338	0.00344281	0.633644775	0.040586923	0.648093425	0.028370459
AC104532.2	0.506134721	0.007847098	0.515453556	0.045561425	0.498044459	0.042847322
AC106706.1	-1.229286677	5.88E-30	-1.229133462	2.32E-08	-1.236239488	6.85E-31
AC106875.1	-0.233999942	0.009976398	-0.234355393	0.04444916	-0.241089884	0.025601328
AC108142.1	0.475158966	6.01E-06	0.478325497	0.001339755	0.468370493	2.04E-05
AC109826.1	-0.526649043	1.10E-05	-0.531814968	0.001037951	-0.533573826	2.29E-05
AC114271.2	0.714567822	3.13E-09	0.724595994	0.000110451	0.708007934	1.75E-08
AC114803.3	-0.935623409	2.98E-06	-0.91874328	0.001957739	-0.944531232	7.04E-05
AC144652.1	0.390479598	0.001430974	0.392289739	0.012566229	0.384167077	0.005579918
AC145676.2	-1.403519941	4.88E-07	-1.388022462	0.001508728	-1.414787664	0.000133267
AC241585.1	0.734375817	0.000160419	0.724541184	0.009402421	0.729423965	0.003017782
ACAD11	0.223782809	0.004174742	0.224840654	0.021680254	0.217050462	0.01301595
ACADM	0.363890343	2.59E-05	0.363454608	0.003421524	0.357543331	0.000126407
ACADS	0.227528027	0.002232734	0.224805542	0.014353692	0.221147873	0.008476857
ACAN	-0.15577574	0.010511944	-0.158727333	0.044717226	-0.161908517	0.033845886
ACAP3	0.263871175	0.001082541	0.266791208	0.011261142	0.257329481	0.003567975
ACBD4	0.458766643	5.81E-05	0.455446838	0.002970781	0.452558579	0.000280567
ACE	1.544307756	0.00124194	1.501107326	0.036376567	1.550405974	0.025252748
ACER3	-0.297970731	0.000403959	-0.298254683	0.006173176	-0.30472925	0.000740168
ACIN1	-0.149320538	0.003685784	-0.149647182	0.018519637	-0.155827613	0.005510259
ACKR2	-0.273852001	1.41E-06	-0.27544618	0.000571249	-0.279937688	5.45E-06
ACKR3	-0.798258001	1.96E-30	-0.802542673	2.23E-08	-0.804680444	8.62E-31
