SYMBOL	logFC_edgeR	PValue	logFC_limma	adj.P.Val	log2FoldChange_DESeq2	padj
A2ML1	-0.560028456	4.50E-09	-0.558661178	0.000211158	-0.574870313	1.82E-08
A4GALT	-0.28418359	0.007053772	-0.282566305	0.047162391	-0.29865545	0.015070958
AAGAB	0.514354975	5.24E-06	0.515011006	0.002863287	0.500131401	8.44E-05
AAK1	-0.403443179	4.81E-07	-0.40341461	0.000803402	-0.417997255	8.03E-07
AARS	-0.449801004	0.0001751	-0.444326215	0.012073718	-0.463960572	0.000615684
AASDH	0.382727019	0.001287118	0.387758474	0.021102433	0.368368719	0.008759175
AASDHPPT	0.283383474	0.001490953	0.28511262	0.023966703	0.268876253	0.012238115
ABCA2	-0.360519244	3.22E-05	-0.358736215	0.004421019	-0.375526598	0.000175963
ABCA4	-0.443371672	3.99E-07	-0.44341427	0.000760666	-0.457923414	5.94E-07
ABCB6	-0.284584197	0.001081445	-0.283926771	0.018382773	-0.299020471	0.003728427
ABCD3	0.242401873	0.001513852	0.242367756	0.022625027	0.227911357	0.009958962
ABHD12	-0.265509581	0.000648585	-0.265271965	0.013060043	-0.280184791	0.002240499
ABHD14A-ACY1	-0.201083662	0.007192435	-0.20102082	0.043557913	-0.215674792	0.015551538
ABHD15	0.510582181	2.85E-05	0.510265322	0.004259461	0.496226302	0.000440714
ABTB1	0.314213945	0.002436865	0.315860898	0.02106702	0.299603894	0.015070958
AC002480.3	-0.618345839	0.000391485	-0.617119578	0.007451936	-0.632839482	0.000972004
AC005301.9	-0.44618496	3.05E-05	-0.442990863	0.005447374	-0.46095452	0.000210878
AC005538.3	0.54030404	0.00445316	0.545109378	0.043000737	0.526283701	0.022087993
AC005540.3	-2.058730952	5.18E-05	-1.992500643	0.027925292	-2.082806883	0.001630829
AC006262.6	-0.536885305	0.004377827	-0.535225342	0.033436982	-0.551747841	0.012668788
AC015688.3	-0.343132183	0.000244804	-0.34274391	0.010655631	-0.357452813	0.001005041
AC016735.2	-0.59364629	0.010201889	-0.591058996	0.045183454	-0.608226584	0.034886459
AC073046.25	-0.988487113	0.001373024	-0.965054475	0.025047661	-1.004587321	0.003042418
AC090505.5	-0.571834691	0.011300887	-0.568263233	0.047612897	-0.586050874	0.02894904
AC090505.6	-1.040828891	8.27E-11	-1.036802115	8.00E-05	-1.055152832	5.53E-11
AC091729.7	0.952734132	0.001175324	0.949066929	0.021658121	0.940468801	0.025681497
AC106706.1	-1.069953896	1.23E-11	-1.067661038	4.11E-05	-1.084508939	1.55E-11
ACADM	0.508799458	1.69E-05	0.511436798	0.005255194	0.494761195	0.000292979
ACADVL	-0.228310925	0.002400405	-0.228141295	0.023608646	-0.242754657	0.004324884
ACAN	-0.450825277	3.41E-07	-0.450272308	0.0008928	-0.46561243	2.72E-06
ACBD7	0.67297963	2.14E-05	0.67680158	0.003893149	0.6586197	0.000335949
ACKR2	-0.474326322	9.05E-09	-0.473624281	0.000273637	-0.488898328	2.28E-08
ACKR3	-0.626698184	4.35E-10	-0.626603692	9.02E-05	-0.64134346	1.24E-09
ACO1	0.298569984	0.000751489	0.30014277	0.014559149	0.283961756	0.007208147
ACOT11	0.90562831	0.000700807	0.933149425	0.018845724	0.891362532	0.010342986
ACSF2	-0.371463428	1.14E-06	-0.370638356	0.001002107	-0.386180669	3.40E-06
ACTA1	-0.970385531	5.57E-05	-0.953313103	0.007143015	-0.984866994	0.000156441
ACTG1	-0.263624343	0.002723531	-0.263219549	0.023614102	-0.278427359	0.008502532
ACTN1	-0.541123398	1.29E-10	-0.539595887	6.77E-05	-0.555582534	1.46E-10
ACTN2	0.400640776	0.002540255	0.402340363	0.027296498	0.386563518	0.016724226
ACTN4	-0.211251813	0.002109622	-0.211243207	0.015260563	-0.225893021	0.002380411
ACTR10	0.370468934	2.40E-05	0.371322683	0.004339636	0.35605855	0.000326829
ACTR1B	-0.356509648	3.00E-06	-0.356242349	0.001385394	-0.371014444	4.97E-06
ACVR1C	1.636101589	0.000327749	1.705038052	0.024874833	1.630393675	0.011524024
ACVR2B	-0.283970519	0.001229227	-0.283769234	0.020772201	-0.298635223	0.003729533
ACY1	-0.223069234	0.003596317	-0.223082438	0.030519047	-0.237624914	0.008635779
ACYP2	0.538382621	0.000894338	0.53893042	0.015543828	0.524103314	0.008584288
ADAM11	0.964326041	0.000315682	0.96959087	0.014666537	0.951184981	0.007033075
ADAM19	-0.563729172	1.41E-06	-0.561163195	0.001146847	-0.578728111	7.80E-06
ADAMTS13	0.561938858	1.81E-06	0.566000378	0.001295302	0.547719692	2.43E-05
ADAMTS4	-0.459202263	9.23E-05	-0.457941374	0.005897576	-0.473932342	0.000239337
ADAMTS6	1.409513152	9.86E-06	1.404855524	0.005291961	1.398250543	0.000856577
ADARB1	0.692775882	2.08E-16	0.692683572	1.82E-05	0.678257454	1.25E-14
ADAT2	0.479714884	0.007489002	0.492189721	0.037734745	0.465115498	0.03687487
ADCK2	-0.211631066	0.008594034	-0.211704988	0.049410665	-0.22613926	0.022423447
ADCY5	-0.976093412	6.29E-09	-0.970452567	0.000111936	-0.991224695	8.69E-09
ADCY6	-0.209148463	0.003861985	-0.208966308	0.029541103	-0.223788597	0.007127402
ADD3	0.426350461	0.000214221	0.42621353	0.012494647	0.411936536	0.002813179
ADGRB2	0.43512904	0.000874388	0.434692059	0.013957788	0.420765552	0.008089696
ADGRE2	-0.712146274	7.82E-12	-0.711329705	6.43E-05	-0.72692575	3.13E-11
ADGRF2	-1.145225133	8.98E-06	-1.144625296	0.002208074	-1.159968464	1.54E-05
ADGRF4	-0.379121194	0.005036898	-0.378800665	0.03183491	-0.393781056	0.011028579
ADGRL2	1.029494959	0.000238926	1.028918384	0.012757926	1.016596509	0.008895925
ADIPOR2	-0.20574251	0.00421844	-0.205448819	0.030032083	-0.220390291	0.00897556
ADM	-0.771373513	1.51E-08	-0.770850665	0.000521951	-0.78601974	0.000153651
ADM2	-0.570854327	0.000798678	-0.563758886	0.021888331	-0.584536639	0.001742622
ADORA2A	-0.728565787	0.003643071	-0.727437285	0.032451691	-0.743265584	0.018442205
AEN	-0.254204786	0.001592395	-0.254102438	0.021581215	-0.26869782	0.003948037
