"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"hsa04060"	"hsa04060"	"Cytokine-cytokine receptor interaction"	58	-0.568197474837792	-2.04925730374119	0.000117247039512252	0.000117247039512252	0.0187140239023257	544	"tags=48%, list=14%, signal=42%"	"9466/3560/1439/3976/8743/3623/9518/1443/10148/57007/50615/1435/55504/2689/56477/8809/9235/1442/3952/3570/1232/3977/10663/3554/3587/3569/2829/58985"
"hsa04061"	"hsa04061"	"Viral protein interaction with cytokine and cytokine receptor"	20	-0.741826817389875	-2.16148724712491	0.000137042620254899	0.000137042620254899	0.0187140239023257	526	"tags=60%, list=13%, signal=52%"	"3560/8743/57007/1435/56477/8809/3570/1232/3587/3569/2829/58985"
"hsa04261"	"hsa04261"	"Adrenergic signaling in cardiomyocytes"	46	-0.557634512612439	-1.93754873810608	0.000241575069452832	0.000241575069452832	0.0187140239023257	662	"tags=39%, list=17%, signal=33%"	"64764/23533/27092/6543/10411/59285/84699/113/4634/183/111/4635/776/491/6331/55799/477/1388"
"hsa04080"	"hsa04080"	"Neuroactive ligand-receptor interaction"	41	-0.588105764477704	-2.00255187292849	0.000245218244237371	0.000245218244237371	0.0187140239023257	863	"tags=63%, list=22%, signal=50%"	"3953/133/5032/718/9340/706/9294/2905/9568/5031/2914/1081/136/183/6870/135/1443/2689/1442/5029/3952/8862/57105/2900/2908/1907"
"hsa04020"	"hsa04020"	"Calcium signaling pathway"	63	-0.502791169742393	-1.83704290119642	0.000808687615526802	0.000808687615526802	0.0336913803175952	1080	"tags=54%, list=27%, signal=40%"	"91860/5333/3707/1133/779/401152/4638/8536/2260/5159/7852/4773/8877/91807/2905/6543/51196/113/844/136/6870/57118/135/6261/84812/8911/2246/57105/2066/777/776/6588/491/2321"
"hsa04640"	"hsa04640"	"Hematopoietic cell lineage"	19	-0.675985433900596	-1.94566024111248	0.000828500414250207	0.000828500414250207	0.0336913803175952	428	"tags=58%, list=11%, signal=52%"	"2056/7037/930/290/1435/3684/3570/3554/933/3569/4311"
"hsa04630"	"hsa04630"	"JAK-STAT signaling pathway"	43	-0.553258340372611	-1.90300547568189	0.000850236851694401	0.000850236851694401	0.0336913803175952	905	"tags=49%, list=23%, signal=38%"	"3572/3953/9021/8554/5159/2056/595/9466/3560/1439/3976/1443/50615/2689/1442/3952/3570/3977/3587/3569/58985"
"hsa04925"	"hsa04925"	"Aldosterone synthesis and secretion"	34	-0.582442626665419	-1.90909858859894	0.000882946518668012	0.000882946518668012	0.0336913803175952	543	"tags=38%, list=14%, signal=33%"	"949/84699/113/5581/183/57118/3762/8911/111/776/491/477/1388"
"hsa04974"	"hsa04974"	"Protein digestion and absorption"	29	-0.594609303952244	-1.88230353608109	0.00103439358675976	0.00103439358675976	0.0350846947555943	831	"tags=55%, list=21%, signal=44%"	"11136/8645/3783/1293/85301/6543/1307/1294/80781/1308/340024/1296/1298/1280/4311/477"
"hsa05150"	"hsa05150"	"Staphylococcus aureus infection"	6	-0.816336884830036	-1.73752895528983	0.0026152337365152	0.0026152337365152	0.0798334509041482	731	"tags=100%, list=19%, signal=82%"	"6404/3872/3684/3857/192666"
