ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	136/2166	200/4383	4.21E-08	2.10E-06	1.51E-06	SERPINE1/DDIT4/FOSL2/NOCT/TGM2/NDRG1/STBD1/PPP1R15A/PLAC8/ATF3/HK2/SLC2A1/ADM/MAFF/ERRFI1/EFNA3/NFIL3/ACKR3/EGFR/IL6/EDN2/HK1/CITED2/VEGFA/STC2/FOS/NEDD4L/BHLHE40/CAV1/KLF6/GBE1/SDC3/TNFAIP3/PDK1/EXT1/PGM1/ANKZF1/TPST2/TKTL1/GYS1/IDS/AK4/DUSP1/MXI1/DDIT3/RORA/PGF/JMJD6/ENO1/FOXO3/NDST1/ALDOA/PFKP/S100A4/ILVBL/SLC2A3/TPI1/TPBG/PAM/AMPD3/HDLBP/NR3C1/TES/GPI/MIF/PFKL/ERO1A/PDK3/GPC4/STC1/PGK1/DTNA/COL5A1/SELENBP1/ALDOC/CDKN1B/BNIP3L/UGP2/TIPARP/GPC1/F3/P4HA2/LXN/RBPJ/SCARB1/MYH9/HSPA5/SAP30/SDC4/LDHA/GAPDH/KDM3A/BTG1/ATP7A/ZNF292/CA12/MAP3K1/PDGFB/FAM162A/BCL2/ZFP36/SLC6A6/VLDLR/TPD52/TGFBI/ANXA2/ANGPTL4/IER3/HMOX1/MT1E/B3GALT6/PGM2/GALK1/CSRP2/ISG20/SLC37A4/KDELR3/KLHL24/ADORA2B/WSB1/HOXB9/PRKCA/SLC2A5/SIAH2/CHST3/AKAP12/P4HA1/CHST2/PLIN2/CXCR4/VHL/GAPDHS/TGFB3/KLF7/PIM1/PYGM	136
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	130/2166	200/4383	3.97E-06	9.92E-05	7.10E-05	DDIT4/HK2/EFNA3/EGFR/PHKA2/GPR87/CITED2/VEGFA/STC2/CHPF/CAPN5/SDC3/EXT1/EXT2/PYGB/ANKZF1/TKTL1/GYS1/PRPS1/GFPT1/AK4/CLDN3/MPI/MXI1/B3GAT3/SLC16A3/ENO1/PKM/CTH/ALDOA/PFKP/GNE/TPI1/GCLC/PSMC4/TPBG/PAM/HDLBP/SPAG4/PLOD1/PYGL/GALE/MIF/CYB5A/ERO1A/PDK3/GPC4/STC1/PGK1/COL5A1/GLCE/PMM2/AKR1A1/UGP2/SRD5A3/GPC1/IDH1/AK3/P4HA2/ELF3/ANG/SDC1/IDUA/QSOX1/XYLT2/ME2/HS2ST1/HSPA5/ABCB6/MDH2/SAP30/TXN/SOD1/LDHA/ZNF292/HMMR/B4GALT2/GMPPA/B3GNT3/GUSB/TALDO1/FAM162A/AGRN/GALK2/MET/MED24/GMPPB/VLDLR/TGFBI/PGAM1/HOMER1/GAL3ST1/ANGPTL4/IER3/IL13RA1/RPE/PAXIP1/B3GALT6/PGM2/GALK1/COPB2/PLOD2/ISG20/SLC37A4/CLDN9/KDELR3/B4GALT4/LHPP/PKP2/ALDH7A1/ADORA2B/GNPDA1/PPP2CB/P4HA1/BPNT1/GOT2/CHST2/AGL/HAX1/SLC25A10/CXCR4/DSC2/SLC25A13/GAPDHS/FKBP4/ARTN/POLR3K/NANP/ARPP19/STMN1	130
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	129/2166	200/4383	7.83E-06	0.0001305	9.34E-05	DDIT4/PPP1R15A/HK2/SLC2A1/SLC7A5/NFIL3/NUPR1/TFRC/TM7SF2/BHLHE40/EIF2S2/XBP1/PHGDH/EDEM1/GBE1/SHMT2/PDK1/PGM1/SLC1A5/AK4/SLA/TRIB3/DDIT3/SLC7A11/PSAT1/ENO1/CTH/GGA2/ALDOA/BCAT1/SLC2A3/TPI1/CORO1A/SKAP2/GCLC/PSMC4/TMEM97/RPN1/MTHFD2/TOMM40/NFYC/HSP90B1/CANX/TES/PITPNB/LDLR/GPI/PFKL/ERO1A/STC1/ELOVL5/PGK1/ADIPOR2/SRD5A1/SC5D/IDH1/CD9/ASNS/MCM2/SSR1/NUP205/PSMD13/HSPA5/SLC1A4/DHFR/PLK1/STARD4/ACLY/DHCR7/LDHA/IDI1/GAPDH/MAP2K3/IFRD1/SQSTM1/PSMA4/LTA4H/NUFIP1/HSPA9/RRP9/ARPC5L/CDC25A/SLC6A6/VLDLR/PSMD12/HMBS/POLR3G/CFP/MLLT11/ACACA/ATP2A2/PSMB5/RPA1/UNG/DDX39A/HPRT1/YKT6/NAMPT/QDPR/ADD3/FKBP2/NMT1/PLOD2/SLC37A4/SLC9A3R1/GSK3B/SERPINH1/SQLE/SERP1/PNP/ABCF2/SCD/INSIG1/P4HA1/BTG2/CACYBP/CALR/ACTR2/CXCR4/SEC11A/PSME3/GMPS/TUBA4A/MCM4/HSPE1/HMGCS1/ACSL3/MTHFD2L/CTSC	129
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	76/2166	113/4383	7.90E-05	0.000987194	0.000706623	DDIT4/ATF3/SLC7A5/EIF4EBP1/VEGFA/STC2/XBP1/EXOSC5/EDEM1/HERPUD1/DCP2/ERN1/FKBP14/SEC31A/BAG3/ATF4/PSAT1/CHAC1/CEBPB/EIF2AK3/DCP1A/TSPYL2/DNAJB9/MTHFD2/HSP90B1/SHC1/ERO1A/WFS1/EXOSC10/SLC30A5/PDIA6/ASNS/XPOT/NOP14/ALDH18A1/SSR1/EDC4/HSPA5/YIF1A/SLC1A4/CEBPG/LSM4/ATP6V0D1/PDIA5/HSPA9/RRP9/SPCS3/EIF4E/SRPRA/KHSRP/GEMIN4/WIPI1/TUBB2A/EXOC2/ZBTB17/EEF2/NABP1/EIF4A3/KDELR3/SERP1/CNOT2/NFYA/DNAJC3/NOLC1/NFYB/POP4/GOSR2/HYOU1/CALR/PARN/EIF4A1/SEC11A/CNOT6/NHP2/DKC1/CNOT4	76
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	124/2166	199/4383	0.00012358	0.001235801	0.000884573	ARHGAP29/CDC42EP1/NEDD9/PKD2/FSCN1/FLNA/ARHGAP10/PALLD/RALBP1/FGD6/FLNB/CEP250/DYNLL2/SHROOM1/PXN/FGD4/RASAL2/PCGF5/FARP1/CEP72/WASF2/SMC3/TRIO/PIF1/ITSN1/CNTRL/MYO1E/EZR/SPTAN1/NOTCH2/TSC1/ARFIP2/BCR/ACTN4/NIN/TUBGCP3/LATS1/STK38L/RASA2/NCK2/BCL2L11/ARHGEF7/PCNT/FBXO5/CDC42BPA/HDAC6/TAOK2/GSN/EPB41/MYH9/OPHN1/ARHGDIA/TLK1/PLK1/RABGAP1/SPTBN1/CCDC88A/TIAM1/KIF1B/NDC80/MYO9B/PRC1/CNTROB/RFC1/NF1/LRPPRC/ARAP3/ABI1/ARHGEF3/KPTN/ANLN/TUBGCP2/SYNPO/WASL/CENPF/DYNC1H1/PREX1/CAPZB/ARHGEF12/CDC42EP4/KIF22/GEMIN4/SUN2/NUSAP1/RAB3GAP1/MYH10/VCL/ARF6/ARHGEF2/CEP192/KIF3C/DLGAP5/ALS2/STAU1/CENPJ/CKAP5/TOP2A/CEP131/SSH2/BCAR1/KIF11/KIF3B/SAC3D1/PCM1/CYTH2/MARCKS/CLIP1/CLASP1/CDC42/SHROOM2/PDLIM5/ECT2/CDK5RAP2/CDC42EP2/NCK1/TPX2/BIN1/ABL1/TUBA4A/MARK4/MAPRE1/ARHGEF11/NEK2/SMC1A	124
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	123/2166	200/4383	0.000293807	0.00244839	0.001752532	HSPB8/NAV2/GAB2/TGM2/SLC2A1/SLC7A5/MYOF/FHL2/TGIF2/CCND1/TSKU/SCNN1A/STC2/FOS/AMFR/DHRS3/BHLHE40/XBP1/ALDH3B1/FASN/CYP26B1/LRIG1/FLNB/P2RY2/CLIC3/ENDOD1/KLF10/TFAP2C/IL6ST/CHPT1/SLC7A2/FARP1/IGF1R/MYC/DLC1/RRP12/SLC22A5/CALB2/UGCG/AFF1/TTC39A/SLC37A1/MYBL1/TPBG/SYNGR1/UNC119/NCOR2/NRIP1/CELSR1/SVIL/SLC1A1/KDM4B/ELOVL5/ABCA3/WFS1/KRT19/WWC1/ADCY9/KLF4/DYNLT3/KCNK5/TIPARP/RPS6KA2/FAM102A/HES1/DEPTOR/ELF3/MREG/SLC26A2/KRT18/RAB17/ELF1/SH3BP5/SCARB1/ASB13/ANXA9/OVOL2/MYBBP1A/SLC1A4/RAB31/SEMA3B/TIAM1/DHCR7/CA12/NBL1/PTGES/TPD52L1/BCL2/MED24/SLC39A6/IGFBP4/ADCY1/ZNF185/ARL3/CELSR2/MUC1/INPP5F/TFF1/TOB1/ADD3/AQP3/NXT1/KRT8/SLC9A3R1/ABAT/MSMB/FKBP5/JAK2/MYB/SIAH2/SYT12/SFN/SLC19A2/TBC1D30/RAPGEFL1/CISH/IL17RB/TJP3/CBFA2T3/FKBP4/PPIF/FOXC1/AR	123
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	41/2166	58/4383	0.000773192	0.0055228	0.003953162	HK2/IPO4/EXOSC5/PES1/MYC/RRP12/BYSL/TMEM97/WDR74/TBRG4/WDR43/PPRC1/PRMT3/SLC19A1/SUPV3L1/UTP20/MYBBP1A/FARSA/PLK1/PPAN/NOP2/PA2G4/RRP9/CDK4/RCL1/UNG/DCTPP1/MCM5/MRTO4/PUS1/MPHOSPH10/NOLC1/GRWD1/TCOF1/NIP7/CBX3/MCM4/HSPE1/AIMP2/TFB2M/GNL3	41
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	67/2166	105/4383	0.001863402	0.011646265	0.008336274	SLC2A1/MAP2K6/EGFR/ECSIT/PDK1/CDK2/CAB39L/ARF1/ITPR2/SLA/TRIB3/DDIT3/PRKAG1/MKNK2/RIPK1/TNFRSF1A/HSP90B1/E2F1/MAPK8/CDKN1B/GRB2/PRKAR2A/ARHGDIA/IRAK4/TIAM1/MAP2K3/SQSTM1/PTPN11/EIF4E/MAPK9/CDK4/MKNK1/MYD88/ACACA/FGF22/AKT1/PIN1/SMAD2/CLTC/ATF1/PIKFYVE/FGF17/STAT2/GSK3B/RPTOR/GRK2/PLCB1/YWHAB/RPS6KA1/PAK4/PPP2R1B/CAB39/PFN1/SFN/MAPKAP1/TRAF2/CALR/ACTR2/MAP3K7/UBE2N/CXCR4/ARPC3/RAC1/RAF1/NCK1/AP2M1/PLCG1	67
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	119/2166	200/4383	0.002167606	0.012042257	0.008619721	SERPINE1/DUSP4/SMAD3/FOSL2/OLR1/ETS2/CEBPD/TRIB1/PPP1R15A/ATF3/MAFF/GCH1/NFIL3/ACKR3/IL6/CCND1/TGIF1/DENND5A/TNFAIP2/VEGFA/FOS/TRIP10/BHLHE40/MXD1/FOSL1/KLF6/TNFAIP3/GADD45A/KLF10/TNIP1/RCAN1/ZBTB10/DUSP1/IL6ST/B4GALT5/KDM6B/PTPRE/DUSP5/MYC/SOCS3/SLC2A3/CEBPB/LITAF/NFAT5/BCL6/MAP3K8/GADD45B/RNF19B/FJX1/NFKBIA/FUT4/PER1/LDLR/LIF/SLC16A6/NFKB2/DNAJB4/LAMB3/NFE2L2/CFLAR/SLC2A6/KLF4/TIPARP/F3/REL/PHLDA1/HES1/SAT1/DRAM1/SIK1/JUNB/DDX58/EIF1/BCL3/SDC4/MAP2K3/SQSTM1/BTG1/IL15RA/EHD1/CSF1/ZFP36/MCL1/NR4A1/SGK1/ICAM1/IFIH1/IER3/NFKBIE/KLF2/TNFAIP8/RIPK2/TUBB2A/YRDC/PLAU/NAMPT/RELA/TANK/BTG3/F2RL1/EGR2/CD83/BIRC2/SPSB1/PLK2/IL18/SPHK1/MARCKS/SNN/BTG2/NR4A2/EGR1/ZC3H12A/PDLIM5/IL1A/PLPP3/TNIP2/NR4A3/IRF1	119
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	118/2166	200/4383	0.003395944	0.01697972	0.012153905	KRT17/DDIT4/NDRG1/PPP1R15A/ATF3/NUPR1/TP63/ST14/SLC3A2/EPHA2/FOS/MXD1/ITGB4/GADD45A/RAB40C/PTPN14/PITPNC1/CCNK/DCXR/MXD4/TRIB3/DDIT3/ZFP36L1/PTPRE/SLC7A11/COQ8A/FOXO3/FUCA1/S100A4/ZBTB16/FBXW7/MKNK2/TSPYL2/VWA5A/RNF19B/DDB2/PVT1/RALGDS/PLXNB2/RGS16/LIF/SP1/EPHX1/CYFIP2/RHBDF2/KLF4/PCNA/TCHH/SAT1/CDKN2B/AK1/F2R/DRAM1/SDC1/RAD51C/PERP/ISCU/AEN/BLCAP/ACVR1B/POM121/SLC35D1/PPM1D/CDKN2A/MAPKAPK3/BTG1/CCP110/WWP1/TPD52L1/FAM162A/CLCA2/PROCR/UPP1/EPS8L2/IRAK1/GM2A/SERTAD3/RRP8/IER3/HMOX1/TGFB1/NUDT15/CDK5R1/TRAF4/TOB1/CD81/PRMT2/RPS27L/RETSAT/CD82/DEF6/ANKRA2/ABAT/ERCC5/TPRKB/SESN1/TP53/PLK2/SPHK1/PMM1/SFN/SLC19A2/TAX1BP3/CTSD/BTG2/RPS12/PLK3/CTSF/HINT1/S100A10/TRIAP1/IL1A/NOL8/CDKN2AIP/APP/KLK8/RAD9A/BAK1	118
